Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Cathlamet,Vashon,Southworth,00:15,00:15,00:28,04/12/2024,
Cathlamet,Southworth,Fauntleroy,00:35,00:35,00:55,04/12/2024,
Cathlamet,Fauntleroy,Vashon,01:05,01:05,01:21,04/12/2024,
Cathlamet,Vashon,Southworth,01:30,01:31,01:41,04/12/2024,
Cathlamet,Vashon,Fauntleroy,04:05,04:06,04:24,04/12/2024,
Cathlamet,Fauntleroy,Southworth,04:25,04:30,04:47,04/12/2024,
Cathlamet,Southworth,Vashon,05:00,05:00,05:11,04/12/2024,
Cathlamet,Vashon,Fauntleroy,05:20,05:21,05:36,04/12/2024,
Cathlamet,Fauntleroy,Vashon,05:50,05:51,06:06,04/12/2024,
Cathlamet,Vashon,Southworth,06:15,06:18,06:28,04/12/2024,
Cathlamet,Southworth,Vashon,06:40,06:42,06:55,04/12/2024,
Cathlamet,Vashon,Fauntleroy,07:00,07:06,07:20,04/12/2024,
Cathlamet,Fauntleroy,,07:40,07:33,00:00,04/12/2024,
Cathlamet,Vashon,Fauntleroy,07:55,07:57,08:12,04/12/2024,
Cathlamet,Fauntleroy,Vashon,08:30,08:32,08:49,04/12/2024,
Cathlamet,Fauntleroy,Vashon,09:30,09:38,09:53,04/12/2024,
Cathlamet,Vashon,Fauntleroy,09:55,10:06,10:19,04/12/2024,
Cathlamet,Fauntleroy,Vashon,10:40,10:36,10:51,04/12/2024,
Cathlamet,Vashon,Southworth,10:55,10:59,11:10,04/12/2024,
Cathlamet,Southworth,Vashon,11:15,11:19,11:29,04/12/2024,
Cathlamet,Vashon,Southworth,12:35,12:45,12:55,04/12/2024,
Cathlamet,Southworth,Fauntleroy,13:00,13:01,13:33,04/12/2024,
Cathlamet,Fauntleroy,Vashon,13:35,13:50,14:03,04/12/2024,
Cathlamet,Vashon,Southworth,14:00,14:13,14:23,04/12/2024,
Cathlamet,Southworth,Fauntleroy,14:20,14:35,14:54,04/12/2024,
Cathlamet,Fauntleroy,Vashon,15:05,15:12,15:25,04/12/2024,
Cathlamet,Vashon,Southworth,15:30,15:39,15:50,04/12/2024,
Cathlamet,Southworth,Fauntleroy,15:55,16:02,16:23,04/12/2024,
Cathlamet,Fauntleroy,Vashon,16:35,16:42,16:57,04/12/2024,
Cathlamet,Vashon,Southworth,17:00,17:09,17:18,04/12/2024,
Cathlamet,Southworth,Vashon,17:20,17:27,17:39,04/12/2024,
Cathlamet,Vashon,Fauntleroy,17:45,17:49,18:04,04/12/2024,
Cathlamet,Fauntleroy,Vashon,18:15,18:22,18:35,04/12/2024,
Cathlamet,Vashon,Southworth,18:40,18:47,18:57,04/12/2024,
Cathlamet,Southworth,Fauntleroy,19:00,19:03,19:23,04/12/2024,
Cathlamet,Fauntleroy,Vashon,19:35,19:38,19:52,04/12/2024,
Cathlamet,Vashon,Southworth,06:30,06:32,06:42,04/13/2024,
Cathlamet,Southworth,Vashon,06:55,06:55,07:07,04/13/2024,
Cathlamet,Vashon,Fauntleroy,07:15,07:17,07:31,04/13/2024,
Cathlamet,Fauntleroy,Vashon,07:50,07:53,08:06,04/13/2024,
Cathlamet,Vashon,Southworth,08:15,08:16,08:28,04/13/2024,
Cathlamet,Southworth,Vashon,08:35,08:54,09:07,04/13/2024,
Cathlamet,Vashon,Fauntleroy,09:25,09:24,09:38,04/13/2024,
Cathlamet,Vashon,Fauntleroy,09:50,10:18,10:32,04/13/2024,
Cathlamet,Vashon,Fauntleroy,11:05,11:11,11:26,04/13/2024,
Cathlamet,Fauntleroy,Vashon,11:35,11:39,11:52,04/13/2024,
Cathlamet,Vashon,Fauntleroy,11:45,12:03,12:16,04/13/2024,
Cathlamet,Fauntleroy,Vashon,12:15,12:32,12:45,04/13/2024,
Cathlamet,Vashon,Southworth,12:45,12:56,13:08,04/13/2024,
Cathlamet,Southworth,Vashon,13:10,13:18,13:28,04/13/2024,
Cathlamet,Vashon,Fauntleroy,13:30,13:39,13:56,04/13/2024,
Cathlamet,Fauntleroy,Vashon,14:00,14:14,14:27,04/13/2024,
Cathlamet,Vashon,Southworth,14:30,14:36,14:46,04/13/2024,
Cathlamet,Southworth,Vashon,14:50,15:04,15:15,04/13/2024,
Cathlamet,Vashon,Fauntleroy,15:10,15:26,15:41,04/13/2024,
Cathlamet,Fauntleroy,Vashon,15:40,16:00,16:13,04/13/2024,
Cathlamet,Vashon,Southworth,16:05,16:21,16:30,04/13/2024,
