Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Chelan,Anacortes,Orcas,05:30,05:31,06:24,05/05/2024,
Chelan,Orcas,Shaw,06:45,06:45,06:56,05/05/2024,
Chelan,Shaw,Lopez,07:00,07:00,07:19,05/05/2024,
Chelan,Lopez,Anacortes,07:30,07:30,08:18,05/05/2024,
Chelan,Anacortes,Friday Harbor,08:30,08:31,09:40,05/05/2024,
Chelan,Friday Harbor,Lopez,09:55,10:04,10:38,05/05/2024,
Chelan,Lopez,Anacortes,10:40,10:50,11:36,05/05/2024,
Chelan,Anacortes,Lopez,11:55,11:58,12:42,05/05/2024,
Chelan,Lopez,Friday Harbor,12:45,12:46,13:20,05/05/2024,
Chelan,Friday Harbor,Anacortes,13:55,14:06,15:16,05/05/2024,
Chelan,Anacortes,Shaw,15:40,15:46,16:34,05/05/2024,
Chelan,Shaw,Orcas,16:35,16:39,16:49,05/05/2024,
Chelan,Orcas,Anacortes,17:15,17:15,18:20,05/05/2024,
Chelan,Lopez,Shaw,19:30,19:33,19:50,05/05/2024,
Chelan,Shaw,Orcas,19:50,19:53,20:04,05/05/2024,
Chelan,Anacortes,Shaw,20:55,21:52,22:50,05/05/2024,
Chelan,Shaw,Orcas,21:45,22:53,23:06,05/05/2024,
Chelan,Orcas,Anacortes,22:05,23:16,00:10,05/05/2024,
Chelan,Anacortes,Orcas,05:30,05:39,06:34,05/06/2024,
Chelan,Orcas,Shaw,06:45,07:01,07:13,05/06/2024,
Chelan,Shaw,Lopez,07:00,07:17,07:37,05/06/2024,
Chelan,Lopez,Anacortes,07:30,07:46,08:28,05/06/2024,
Chelan,Anacortes,Friday Harbor,08:30,08:50,10:06,05/06/2024,
Chelan,Friday Harbor,Lopez,09:55,10:40,11:13,05/06/2024,
Chelan,Lopez,Anacortes,10:40,11:20,12:21,05/06/2024,
Chelan,Friday Harbor,Anacortes,13:55,14:25,15:41,05/06/2024,
Chelan,Anacortes,Shaw,15:40,16:12,17:11,05/06/2024,
Chelan,Shaw,Orcas,16:35,17:17,17:29,05/06/2024,
Chelan,Orcas,Anacortes,17:15,17:52,18:46,05/06/2024,
Chelan,Anacortes,Shaw,18:30,19:37,20:29,05/06/2024,
Chelan,Orcas,Anacortes,19:50,21:03,21:55,05/06/2024,
Chelan,Anacortes,Shaw,20:55,22:07,22:57,05/06/2024,
