Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Issaquah,Clinton,Mukilteo,04:40,04:41,04:55,04/12/2024,
Issaquah,Mukilteo,Clinton,05:05,05:05,05:18,04/12/2024,
Issaquah,Clinton,Mukilteo,05:30,05:31,05:44,04/12/2024,
Issaquah,Mukilteo,Clinton,06:00,06:01,06:15,04/12/2024,
Issaquah,Clinton,Mukilteo,06:30,06:32,06:46,04/12/2024,
Issaquah,Mukilteo,Clinton,07:00,07:01,07:16,04/12/2024,
Issaquah,Clinton,Mukilteo,07:30,07:32,07:47,04/12/2024,
Issaquah,Mukilteo,Clinton,08:00,08:00,08:17,04/12/2024,
Issaquah,Clinton,Mukilteo,10:00,10:04,10:21,04/12/2024,
Issaquah,Mukilteo,Clinton,10:30,10:38,10:55,04/12/2024,
Issaquah,Clinton,Mukilteo,11:00,11:17,11:30,04/12/2024,
Issaquah,Mukilteo,Clinton,11:30,11:53,12:10,04/12/2024,
Issaquah,Clinton,Mukilteo,12:30,12:31,12:46,04/12/2024,
Issaquah,Mukilteo,Clinton,13:00,13:05,13:23,04/12/2024,
Issaquah,Clinton,Mukilteo,13:30,13:42,13:57,04/12/2024,
Issaquah,Mukilteo,Clinton,14:05,14:14,14:27,04/12/2024,
Issaquah,Clinton,Mukilteo,14:35,14:46,15:01,04/12/2024,
Issaquah,Mukilteo,Clinton,15:05,15:19,15:32,04/12/2024,
Issaquah,Clinton,Mukilteo,15:35,15:49,16:01,04/12/2024,
Issaquah,Mukilteo,Clinton,16:05,16:18,16:31,04/12/2024,
Issaquah,Clinton,Mukilteo,16:35,16:47,17:00,04/12/2024,
Issaquah,Mukilteo,Clinton,17:10,17:18,17:31,04/12/2024,
Issaquah,Clinton,Mukilteo,17:35,17:46,17:58,04/12/2024,
Issaquah,Mukilteo,Clinton,18:10,18:14,18:27,04/12/2024,
Issaquah,Clinton,Mukilteo,18:35,18:40,18:53,04/12/2024,
Issaquah,Mukilteo,Clinton,19:05,19:10,19:22,04/12/2024,
Issaquah,Clinton,Mukilteo,19:35,19:37,19:49,04/12/2024,
Issaquah,Mukilteo,Clinton,20:05,20:05,20:19,04/12/2024,
Issaquah,Clinton,Mukilteo,20:30,20:34,20:48,04/12/2024,
Issaquah,Mukilteo,Clinton,21:00,21:00,21:14,04/12/2024,
Issaquah,Clinton,Mukilteo,21:30,21:30,21:43,04/12/2024,
Issaquah,Mukilteo,Clinton,22:00,22:00,22:13,04/12/2024,
Issaquah,Clinton,Mukilteo,22:30,22:30,22:44,04/12/2024,
Issaquah,Mukilteo,Clinton,23:00,23:00,23:13,04/12/2024,
Issaquah,Clinton,Mukilteo,23:30,23:30,23:43,04/12/2024,
Issaquah,Mukilteo,Clinton,00:00,00:07,00:20,04/13/2024,
Issaquah,Clinton,Mukilteo,00:30,00:32,00:45,04/13/2024,
Issaquah,Mukilteo,Clinton,01:05,01:05,01:19,04/13/2024,
