Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kaleetan,Kingston,Edmonds,05:30,05:31,05:53,04/12/2024,
Kaleetan,Edmonds,Kingston,06:15,06:16,06:39,04/12/2024,
Kaleetan,Kingston,Edmonds,07:00,07:02,07:25,04/12/2024,
Kaleetan,Edmonds,Kingston,07:55,07:56,08:18,04/12/2024,
Kaleetan,Kingston,Edmonds,08:40,08:41,09:03,04/12/2024,
Kaleetan,Edmonds,Kingston,09:35,09:36,10:00,04/12/2024,
Kaleetan,Kingston,Edmonds,10:20,10:21,10:43,04/12/2024,
Kaleetan,Edmonds,Kingston,11:05,11:06,11:29,04/12/2024,
Kaleetan,Kingston,Edmonds,11:55,11:56,12:18,04/12/2024,
Kaleetan,Edmonds,Kingston,12:40,12:40,13:02,04/12/2024,
Kaleetan,Kingston,Edmonds,13:30,13:31,13:52,04/12/2024,
Kaleetan,Edmonds,Kingston,14:25,14:26,14:48,04/12/2024,
Kaleetan,Kingston,Edmonds,15:10,15:11,15:35,04/12/2024,
Kaleetan,Edmonds,Kingston,15:55,15:58,16:21,04/12/2024,
Kaleetan,Kingston,Edmonds,16:40,16:42,17:06,04/12/2024,
Kaleetan,Edmonds,Kingston,17:25,17:30,17:51,04/12/2024,
Kaleetan,Kingston,Edmonds,18:10,18:13,18:35,04/12/2024,
Kaleetan,Edmonds,Kingston,19:00,19:01,19:23,04/12/2024,
Kaleetan,Kingston,Edmonds,19:45,19:45,20:07,04/12/2024,
Kaleetan,Edmonds,Kingston,20:30,20:31,20:52,04/12/2024,
Kaleetan,Kingston,Edmonds,21:10,21:10,21:33,04/12/2024,
Kaleetan,Edmonds,Kingston,21:50,21:51,22:14,04/12/2024,
Kaleetan,Kingston,Edmonds,22:30,22:31,22:52,04/12/2024,
Kaleetan,Edmonds,Kingston,23:10,23:10,23:34,04/12/2024,
Kaleetan,Kingston,Edmonds,05:30,05:30,05:52,04/13/2024,
Kaleetan,Edmonds,Kingston,06:15,06:18,06:42,04/13/2024,
Kaleetan,Kingston,Edmonds,07:00,07:00,07:23,04/13/2024,
Kaleetan,Edmonds,Kingston,07:55,07:57,08:19,04/13/2024,
Kaleetan,Kingston,Edmonds,08:40,08:41,09:03,04/13/2024,
Kaleetan,Edmonds,Kingston,09:35,09:38,10:01,04/13/2024,
Kaleetan,Kingston,Edmonds,10:20,10:24,10:46,04/13/2024,
Kaleetan,Edmonds,Kingston,11:05,11:07,11:30,04/13/2024,
Kaleetan,Kingston,Edmonds,11:55,11:57,12:19,04/13/2024,
Kaleetan,Edmonds,Kingston,12:40,12:41,13:07,04/13/2024,
Kaleetan,Kingston,Edmonds,13:30,13:34,13:56,04/13/2024,
Kaleetan,Edmonds,Kingston,14:25,14:26,14:48,04/13/2024,
Kaleetan,Kingston,Edmonds,15:10,15:13,15:35,04/13/2024,
Kaleetan,Edmonds,Kingston,15:55,15:58,16:20,04/13/2024,
Kaleetan,Kingston,Edmonds,16:40,16:41,17:05,04/13/2024,
Kaleetan,Edmonds,Kingston,17:25,17:30,17:53,04/13/2024,
Kaleetan,Kingston,Edmonds,18:10,18:14,18:37,04/13/2024,
Kaleetan,Edmonds,Kingston,19:00,19:02,19:24,04/13/2024,
Kaleetan,Kingston,Edmonds,19:45,19:46,20:07,04/13/2024,
Kaleetan,Edmonds,Kingston,20:30,20:31,20:53,04/13/2024,
Kaleetan,Kingston,Edmonds,21:10,21:13,21:36,04/13/2024,
Kaleetan,Edmonds,Kingston,21:50,21:51,22:13,04/13/2024,
