Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kennewick,Port Townsend,Keystone,06:30,06:30,06:58,04/12/2024,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:48,04/12/2024,
Kennewick,Port Townsend,Keystone,08:00,08:02,08:34,04/12/2024,
Kennewick,Keystone,Port Townsend,08:45,08:49,09:16,04/12/2024,
Kennewick,Port Townsend,Keystone,09:30,09:31,09:59,04/12/2024,
Kennewick,Keystone,Port Townsend,10:15,10:15,10:45,04/12/2024,
Kennewick,Port Townsend,Keystone,12:30,12:30,12:58,04/12/2024,
Kennewick,Keystone,Port Townsend,13:15,13:16,13:44,04/12/2024,
Kennewick,Port Townsend,Keystone,14:00,14:01,14:28,04/12/2024,
Kennewick,Keystone,Port Townsend,14:45,14:48,15:16,04/12/2024,
Kennewick,Port Townsend,Keystone,15:30,15:34,16:01,04/12/2024,
Kennewick,Keystone,Port Townsend,16:15,16:20,16:47,04/12/2024,
Kennewick,Port Townsend,Keystone,17:15,17:15,17:42,04/12/2024,
Kennewick,Keystone,Port Townsend,18:00,18:00,18:28,04/12/2024,
Kennewick,Port Townsend,Keystone,18:45,18:45,19:12,04/12/2024,
Kennewick,Keystone,Port Townsend,19:30,19:31,19:58,04/12/2024,
Kennewick,Port Townsend,Keystone,20:30,20:30,20:56,04/12/2024,
Kennewick,Keystone,Port Townsend,21:10,21:10,21:35,04/12/2024,
Kennewick,Port Townsend,Keystone,06:30,06:30,06:56,04/13/2024,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:42,04/13/2024,
Kennewick,Port Townsend,Keystone,08:00,08:00,08:28,04/13/2024,
Kennewick,Keystone,Port Townsend,08:45,08:45,09:12,04/13/2024,
Kennewick,Port Townsend,Keystone,09:30,09:30,09:57,04/13/2024,
Kennewick,Keystone,Port Townsend,10:15,10:15,10:43,04/13/2024,
Kennewick,Port Townsend,Keystone,11:00,11:01,11:29,04/13/2024,
Kennewick,Keystone,Port Townsend,11:45,11:47,12:14,04/13/2024,
Kennewick,Port Townsend,Keystone,14:00,14:02,14:27,04/13/2024,
Kennewick,Keystone,Port Townsend,14:45,14:47,15:14,04/13/2024,
Kennewick,Port Townsend,Keystone,15:30,15:37,16:04,04/13/2024,
Kennewick,Keystone,Port Townsend,16:15,16:24,16:51,04/13/2024,
Kennewick,Port Townsend,Keystone,17:15,17:16,17:46,04/13/2024,
Kennewick,Keystone,Port Townsend,18:00,18:06,18:33,04/13/2024,
Kennewick,Port Townsend,Keystone,18:45,18:50,19:17,04/13/2024,
Kennewick,Keystone,Port Townsend,19:30,19:33,19:59,04/13/2024,
Kennewick,Port Townsend,Keystone,20:30,20:31,20:57,04/13/2024,
Kennewick,Keystone,Port Townsend,21:10,21:10,21:36,04/13/2024,
Kennewick,Port Townsend,Keystone,06:30,06:30,06:56,04/14/2024,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:42,04/14/2024,
Kennewick,Port Townsend,Keystone,08:00,08:01,08:27,04/14/2024,
Kennewick,Keystone,Port Townsend,08:45,08:46,09:12,04/14/2024,
Kennewick,Port Townsend,Keystone,09:30,09:30,09:59,04/14/2024,
Kennewick,Keystone,Port Townsend,10:15,10:16,10:42,04/14/2024,
Kennewick,Port Townsend,Keystone,11:00,11:00,11:28,04/14/2024,
Kennewick,Keystone,Port Townsend,11:45,11:46,12:14,04/14/2024,
Kennewick,Port Townsend,Keystone,12:30,12:30,12:57,04/14/2024,
Kennewick,Keystone,Port Townsend,13:15,13:16,13:43,04/14/2024,
Kennewick,Port Townsend,Keystone,14:00,14:01,14:28,04/14/2024,
Kennewick,Keystone,Port Townsend,14:45,14:47,15:15,04/14/2024,
Kennewick,Port Townsend,Keystone,15:30,15:34,16:00,04/14/2024,
Kennewick,Keystone,Port Townsend,16:15,16:20,16:48,04/14/2024,
Kennewick,Port Townsend,Keystone,17:15,17:15,17:41,04/14/2024,
Kennewick,Keystone,Port Townsend,18:00,18:00,18:29,04/14/2024,
Kennewick,Port Townsend,Keystone,18:45,18:45,19:12,04/14/2024,
Kennewick,Keystone,Port Townsend,19:30,19:30,20:03,04/14/2024,
Kennewick,Port Townsend,Keystone,20:30,20:30,20:57,04/14/2024,
Kennewick,Keystone,Port Townsend,21:10,21:10,21:43,04/14/2024,
Kennewick,Port Townsend,Keystone,06:30,06:30,07:00,04/15/2024,
Kennewick,Keystone,Port Townsend,07:15,07:21,07:48,04/15/2024,
Kennewick,Port Townsend,Keystone,08:00,08:03,08:30,04/15/2024,
Kennewick,Keystone,Port Townsend,08:45,08:46,09:14,04/15/2024,
Kennewick,Port Townsend,Keystone,09:30,09:31,10:02,04/15/2024,
Kennewick,Keystone,Port Townsend,10:15,10:20,10:47,04/15/2024,
Kennewick,Port Townsend,Keystone,11:00,11:00,11:29,04/15/2024,
Kennewick,Keystone,Port Townsend,11:45,11:45,12:12,04/15/2024,
Kennewick,Port Townsend,Keystone,12:30,12:30,12:58,04/15/2024,
Kennewick,Keystone,Port Townsend,13:15,13:16,13:43,04/15/2024,
Kennewick,Port Townsend,Keystone,14:00,14:01,14:29,04/15/2024,
Kennewick,Keystone,Port Townsend,14:45,14:45,15:13,04/15/2024,
Kennewick,Port Townsend,Keystone,15:30,15:30,15:57,04/15/2024,
Kennewick,Keystone,Port Townsend,16:15,16:16,16:46,04/15/2024,
Kennewick,Port Townsend,Keystone,17:15,17:15,17:41,04/15/2024,
Kennewick,Keystone,Port Townsend,18:00,18:00,18:32,04/15/2024,
Kennewick,Port Townsend,Keystone,18:45,18:46,19:12,04/15/2024,
Kennewick,Keystone,Port Townsend,19:30,19:34,20:14,04/15/2024,
Kennewick,Port Townsend,Keystone,20:30,20:30,20:58,04/15/2024,
Kennewick,Keystone,Port Townsend,21:10,21:10,21:47,04/15/2024,
Kennewick,Port Townsend,Keystone,06:30,06:30,06:59,04/16/2024,
Kennewick,Keystone,Port Townsend,07:15,07:15,07:42,04/16/2024,
Kennewick,Port Townsend,Keystone,08:00,08:02,08:29,04/16/2024,
Kennewick,Keystone,Port Townsend,08:45,08:45,09:12,04/16/2024,
Kennewick,Port Townsend,Keystone,09:30,09:30,09:57,04/16/2024,
Kennewick,Keystone,Port Townsend,10:15,10:15,10:42,04/16/2024,
Kennewick,Port Townsend,Keystone,11:00,11:00,11:27,04/16/2024,
Kennewick,Keystone,Port Townsend,11:45,11:48,12:14,04/16/2024,
Kennewick,Port Townsend,Keystone,12:30,12:31,12:57,04/16/2024,
Kennewick,Keystone,Port Townsend,13:15,13:15,13:41,04/16/2024,
Kennewick,Port Townsend,Keystone,14:00,14:00,14:27,04/16/2024,
Kennewick,Keystone,Port Townsend,14:45,14:45,15:11,04/16/2024,
Kennewick,Port Townsend,Keystone,15:30,15:30,15:56,04/16/2024,
Kennewick,Keystone,Port Townsend,16:15,16:15,16:41,04/16/2024,
Kennewick,Port Townsend,Keystone,17:15,17:15,17:41,04/16/2024,
Kennewick,Keystone,Port Townsend,18:00,18:00,18:26,04/16/2024,
