Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Kitsap,Clinton,Mukilteo,11:30,11:53,12:09,04/28/2024,
Kitsap,Clinton,Mukilteo,12:30,12:54,13:09,04/28/2024,
Kitsap,Mukilteo,Clinton,12:30,12:25,12:38,04/28/2024,
Kitsap,Mukilteo,Clinton,13:00,13:24,13:39,04/28/2024,
Kitsap,Clinton,Mukilteo,13:30,13:53,14:08,04/28/2024,
Kitsap,Mukilteo,Clinton,14:05,14:26,14:38,04/28/2024,
Kitsap,Clinton,Mukilteo,14:35,14:55,15:06,04/28/2024,
Kitsap,Mukilteo,Clinton,15:05,15:23,15:36,04/28/2024,
Kitsap,Clinton,Mukilteo,15:35,15:52,16:05,04/28/2024,
Kitsap,Mukilteo,Clinton,16:05,16:20,16:33,04/28/2024,
Kitsap,Clinton,Mukilteo,16:35,16:52,17:04,04/28/2024,
Kitsap,Mukilteo,Clinton,17:10,17:17,17:30,04/28/2024,
Kitsap,Clinton,Mukilteo,17:35,17:47,17:59,04/28/2024,
Kitsap,Mukilteo,Clinton,18:10,18:11,18:24,04/28/2024,
Kitsap,Clinton,Mukilteo,18:35,18:36,18:50,04/28/2024,
Kitsap,Mukilteo,Clinton,19:05,19:06,19:20,04/28/2024,
Kitsap,Clinton,Mukilteo,19:35,19:36,19:49,04/28/2024,
Kitsap,Mukilteo,Clinton,20:05,20:06,20:19,04/28/2024,
Kitsap,Clinton,Mukilteo,20:30,20:32,20:45,04/28/2024,
Kitsap,Mukilteo,Clinton,21:00,21:00,21:14,04/28/2024,
Kitsap,Clinton,Mukilteo,21:30,21:30,21:44,04/28/2024,
Kitsap,Mukilteo,Clinton,22:00,22:00,22:17,04/28/2024,
Kitsap,Clinton,Mukilteo,22:30,22:31,22:45,04/28/2024,
Kitsap,Mukilteo,Clinton,23:00,23:00,23:16,04/28/2024,
Kitsap,Clinton,Mukilteo,23:30,23:30,23:47,04/28/2024,
Kitsap,Mukilteo,Clinton,00:00,00:00,00:16,04/29/2024,
Kitsap,Clinton,Mukilteo,00:30,00:30,00:43,04/29/2024,
Kitsap,Mukilteo,Clinton,01:05,01:13,01:26,04/29/2024,
Kitsap,Clinton,Mukilteo,04:40,04:41,04:55,04/29/2024,
Kitsap,Mukilteo,Clinton,05:05,05:06,05:19,04/29/2024,
Kitsap,Clinton,Mukilteo,05:30,05:31,05:45,04/29/2024,
Kitsap,Mukilteo,Clinton,06:00,06:00,06:13,04/29/2024,
Kitsap,Clinton,Mukilteo,06:30,06:30,06:45,04/29/2024,
Kitsap,Mukilteo,Clinton,07:00,07:00,07:16,04/29/2024,
Kitsap,Clinton,Mukilteo,07:30,07:32,07:45,04/29/2024,
Kitsap,Mukilteo,Clinton,08:00,08:01,08:14,04/29/2024,
Kitsap,Clinton,Mukilteo,08:30,08:30,08:43,04/29/2024,
Kitsap,Mukilteo,Clinton,09:00,09:01,09:17,04/29/2024,
Kitsap,Clinton,Mukilteo,09:30,09:32,09:44,04/29/2024,
Kitsap,Mukilteo,Clinton,10:00,10:00,10:13,04/29/2024,
Kitsap,Clinton,Mukilteo,10:30,10:30,10:43,04/29/2024,
Kitsap,Mukilteo,Clinton,11:00,11:00,11:12,04/29/2024,
Kitsap,Clinton,Mukilteo,11:30,11:32,11:45,04/29/2024,
Kitsap,Mukilteo,Clinton,12:00,12:01,12:15,04/29/2024,
Kitsap,Clinton,Mukilteo,12:30,12:30,12:44,04/29/2024,
Kitsap,Mukilteo,Clinton,13:00,13:02,13:16,04/29/2024,
Kitsap,Clinton,Mukilteo,13:30,13:32,13:44,04/29/2024,
Kitsap,Mukilteo,Clinton,14:05,14:05,14:22,04/29/2024,
Kitsap,Clinton,Mukilteo,14:35,14:37,14:52,04/29/2024,
Kitsap,Mukilteo,Clinton,15:05,15:06,15:19,04/29/2024,
Kitsap,Clinton,Mukilteo,15:35,15:37,15:52,04/29/2024,
Kitsap,Mukilteo,Clinton,16:05,16:11,16:25,04/29/2024,
Kitsap,Clinton,Mukilteo,16:35,16:38,16:54,04/29/2024,
Kitsap,Mukilteo,Clinton,17:10,17:10,17:24,04/29/2024,
Kitsap,Clinton,Mukilteo,17:35,17:32,17:45,04/29/2024,
Kitsap,Mukilteo,Clinton,18:10,18:10,18:24,04/29/2024,
Kitsap,Clinton,Mukilteo,18:35,18:37,18:51,04/29/2024,
Kitsap,Mukilteo,Clinton,19:05,19:05,19:20,04/29/2024,
