Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Puyallup,Bainbridge,Colman,18:40,18:48,19:19,05/21/2024,
Puyallup,Colman,Bainbridge,19:30,19:31,20:02,05/21/2024,
Puyallup,Bainbridge,Colman,20:20,20:22,20:55,05/21/2024,
Puyallup,Colman,Bainbridge,21:20,21:28,21:59,05/21/2024,
Puyallup,Bainbridge,Colman,22:00,22:08,22:40,05/21/2024,
Puyallup,Colman,Bainbridge,22:50,22:52,23:25,05/21/2024,
Puyallup,Bainbridge,Colman,23:30,23:31,00:03,05/21/2024,
Puyallup,Colman,Bainbridge,00:15,00:15,00:48,05/22/2024,
Puyallup,Bainbridge,Colman,00:55,00:56,01:26,05/22/2024,
Puyallup,Colman,Bainbridge,01:35,01:38,02:12,05/22/2024,
Puyallup,Bainbridge,Colman,05:20,05:22,05:53,05/22/2024,
Puyallup,Colman,Bainbridge,06:10,06:11,06:46,05/22/2024,
Puyallup,Bainbridge,Colman,07:05,07:05,07:36,05/22/2024,
Puyallup,Colman,Bainbridge,07:55,07:55,08:34,05/22/2024,
Puyallup,Bainbridge,Colman,08:45,08:50,09:23,05/22/2024,
Puyallup,Colman,Bainbridge,09:35,09:39,10:11,05/22/2024,
Puyallup,Bainbridge,Colman,10:25,10:25,10:58,05/22/2024,
Puyallup,Colman,Bainbridge,11:25,11:26,12:02,05/22/2024,
Puyallup,Bainbridge,Colman,12:20,12:22,12:55,05/22/2024,
Puyallup,Colman,Bainbridge,13:10,13:11,13:46,05/22/2024,
Puyallup,Bainbridge,Colman,14:05,14:06,14:39,05/22/2024,
Puyallup,Colman,Bainbridge,15:00,15:01,15:33,05/22/2024,
Puyallup,Bainbridge,Colman,15:50,15:52,16:24,05/22/2024,
Puyallup,Colman,Bainbridge,16:45,16:51,17:23,05/22/2024,
Puyallup,Bainbridge,Colman,17:35,17:41,18:14,05/22/2024,
Puyallup,Colman,Bainbridge,18:30,18:35,19:11,05/22/2024,
Puyallup,Bainbridge,Colman,19:20,19:24,19:55,05/22/2024,
Puyallup,Colman,Bainbridge,20:15,20:16,20:48,05/22/2024,
Puyallup,Bainbridge,Colman,21:00,21:00,21:43,05/22/2024,
Puyallup,Colman,Bainbridge,22:05,22:05,22:41,05/22/2024,
Puyallup,Bainbridge,Colman,05:20,05:20,05:55,05/23/2024,
Puyallup,Colman,Bainbridge,06:10,06:11,06:49,05/23/2024,
Puyallup,Bainbridge,Colman,07:05,07:08,07:42,05/23/2024,
Puyallup,Colman,Bainbridge,07:55,07:57,08:38,05/23/2024,
Puyallup,Bainbridge,Colman,08:45,08:55,09:34,05/23/2024,
Puyallup,Colman,Bainbridge,09:35,09:53,10:27,05/23/2024,
Puyallup,Bainbridge,Colman,10:25,10:44,11:25,05/23/2024,
Puyallup,Colman,Bainbridge,11:25,11:50,12:24,05/23/2024,
Puyallup,Bainbridge,Colman,12:20,12:42,13:15,05/23/2024,
Puyallup,Colman,Bainbridge,13:10,13:37,14:10,05/23/2024,
Puyallup,Bainbridge,Colman,14:05,14:28,14:58,05/23/2024,
