Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Salish,Southworth,Vashon,16:30,15:45,15:57,06/16/2024,
Salish,Vashon,,08:45,08:34,00:00,06/17/2024,
Salish,Vashon,Fauntleroy,08:45,08:31,08:49,06/18/2024,
Salish,Vashon,,12:40,12:46,00:00,06/18/2024,
Salish,Fauntleroy,,09:10,08:58,00:00,06/19/2024,
Salish,Vashon,,12:40,12:37,00:00,06/19/2024,
Salish,Fauntleroy,,09:10,08:58,00:00,06/20/2024,
Salish,Fauntleroy,,11:30,11:28,00:00,06/20/2024,
Salish,Vashon,,12:40,12:16,00:00,06/26/2024,
Salish,Fauntleroy,,13:35,13:43,00:00,06/26/2024,
Salish,Fauntleroy,,09:10,09:02,00:00,07/02/2024,
Salish,Fauntleroy,,11:30,11:24,00:00,07/02/2024,
Salish,Fauntleroy,,09:10,09:01,00:00,07/03/2024,
Salish,Vashon,Fauntleroy,19:25,19:26,19:45,07/04/2024,
Salish,Fauntleroy,Vashon,19:55,19:56,20:13,07/04/2024,
Salish,Vashon,,20:25,20:26,00:00,07/04/2024,
Salish,Fauntleroy,,20:50,20:59,00:00,07/04/2024,
Salish,Vashon,Southworth,21:15,21:21,21:32,07/04/2024,
Salish,Southworth,Vashon,21:35,21:37,21:48,07/04/2024,
Salish,Fauntleroy,,09:10,09:01,00:00,07/05/2024,
Salish,Fauntleroy,,13:15,12:56,00:00,07/05/2024,
Salish,Pt. Defiance,Tahlequah,13:40,14:16,14:28,07/06/2024,
Salish,Tahlequah,Pt. Defiance,14:10,14:47,15:00,07/06/2024,
Salish,Pt. Defiance,Tahlequah,14:40,15:21,15:32,07/06/2024,
Salish,Tahlequah,Pt. Defiance,15:10,15:53,16:04,07/06/2024,
Salish,Pt. Defiance,Tahlequah,15:40,16:25,16:36,07/06/2024,
Salish,Pt. Defiance,Tahlequah,17:30,17:31,17:42,07/06/2024,
Salish,Tahlequah,Pt. Defiance,18:00,18:08,18:20,07/06/2024,
Salish,Pt. Defiance,Tahlequah,18:30,18:40,18:51,07/06/2024,
Salish,Tahlequah,Pt. Defiance,19:00,19:10,19:21,07/06/2024,
Salish,Pt. Defiance,Tahlequah,19:25,19:36,19:47,07/06/2024,
Salish,Tahlequah,Pt. Defiance,20:00,20:03,20:15,07/06/2024,
Salish,Pt. Defiance,Tahlequah,20:25,20:27,20:38,07/06/2024,
Salish,Tahlequah,Pt. Defiance,21:00,21:08,21:20,07/06/2024,
Salish,Pt. Defiance,Tahlequah,21:30,21:33,21:46,07/06/2024,
Salish,Tahlequah,Pt. Defiance,22:00,22:01,22:13,07/06/2024,
Salish,Pt. Defiance,Tahlequah,22:30,22:32,22:43,07/06/2024,
Salish,Tahlequah,Pt. Defiance,22:55,22:59,23:10,07/06/2024,
Salish,Pt. Defiance,Tahlequah,05:55,05:57,06:08,07/07/2024,
Salish,Tahlequah,Pt. Defiance,06:20,06:22,06:32,07/07/2024,
Salish,Pt. Defiance,Tahlequah,06:45,06:48,06:57,07/07/2024,
Salish,Tahlequah,Pt. Defiance,07:10,07:12,07:22,07/07/2024,
Salish,Pt. Defiance,Tahlequah,07:35,07:36,07:47,07/07/2024,
Salish,Tahlequah,Pt. Defiance,08:00,08:01,08:12,07/07/2024,
Salish,Pt. Defiance,Tahlequah,08:25,08:27,08:38,07/07/2024,
Salish,Tahlequah,Pt. Defiance,08:50,08:52,09:02,07/07/2024,
Salish,Pt. Defiance,Tahlequah,09:15,09:18,09:28,07/07/2024,
Salish,Tahlequah,Pt. Defiance,09:40,09:42,09:52,07/07/2024,
Salish,Pt. Defiance,Tahlequah,10:05,10:07,10:18,07/07/2024,
Salish,Tahlequah,Pt. Defiance,10:30,10:32,10:41,07/07/2024,
Salish,Pt. Defiance,Tahlequah,10:55,10:58,11:10,07/07/2024,
Salish,Tahlequah,Pt. Defiance,11:20,11:24,11:35,07/07/2024,
Salish,Pt. Defiance,Tahlequah,11:45,11:49,12:00,07/07/2024,
Salish,Tahlequah,Pt. Defiance,12:10,12:20,12:30,07/07/2024,
Salish,Pt. Defiance,Tahlequah,12:35,12:42,12:53,07/07/2024,
Salish,Tahlequah,Pt. Defiance,13:00,13:08,13:18,07/07/2024,
Salish,Pt. Defiance,Tahlequah,13:40,13:41,13:52,07/07/2024,
Salish,Tahlequah,Pt. Defiance,14:10,14:11,14:22,07/07/2024,
Salish,Pt. Defiance,Tahlequah,14:40,14:42,14:53,07/07/2024,
Salish,Tahlequah,Pt. Defiance,15:10,15:11,15:23,07/07/2024,
Salish,Pt. Defiance,Tahlequah,15:40,15:42,15:54,07/07/2024,
Salish,Tahlequah,Pt. Defiance,16:05,16:08,16:21,07/07/2024,
Salish,Pt. Defiance,Tahlequah,16:35,16:37,16:48,07/07/2024,
Salish,Tahlequah,Pt. Defiance,17:00,17:02,17:15,07/07/2024,
Salish,Pt. Defiance,Tahlequah,17:30,17:31,17:43,07/07/2024,
Salish,Tahlequah,Pt. Defiance,18:00,18:00,18:13,07/07/2024,
Salish,Pt. Defiance,Tahlequah,18:30,18:32,18:43,07/07/2024,
Salish,Tahlequah,Pt. Defiance,19:00,19:01,19:13,07/07/2024,
Salish,Pt. Defiance,Tahlequah,19:25,19:26,19:37,07/07/2024,
Salish,Tahlequah,Pt. Defiance,20:00,20:02,20:14,07/07/2024,
Salish,Pt. Defiance,Tahlequah,20:25,20:26,20:37,07/07/2024,
Salish,Tahlequah,Pt. Defiance,21:00,21:01,21:14,07/07/2024,
Salish,Pt. Defiance,Tahlequah,21:30,21:31,21:43,07/07/2024,
Salish,Tahlequah,Pt. Defiance,22:00,22:01,22:11,07/07/2024,
Salish,Pt. Defiance,Tahlequah,22:30,22:32,22:44,07/07/2024,
Salish,Tahlequah,Pt. Defiance,22:55,22:56,23:08,07/07/2024,
Salish,Pt. Defiance,Tahlequah,05:05,05:08,05:18,07/08/2024,
Salish,Tahlequah,Pt. Defiance,05:30,05:32,05:43,07/08/2024,
Salish,Pt. Defiance,Tahlequah,05:55,05:57,06:08,07/08/2024,
