Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Sealth,Anacortes,Lopez,06:20,06:20,07:06,04/12/2024,
Sealth,Lopez,Friday Harbor,07:10,07:16,07:48,04/12/2024,
Sealth,Friday Harbor,Anacortes,08:05,08:15,09:24,04/12/2024,
Sealth,Anacortes,Friday Harbor,09:30,09:38,10:45,04/12/2024,
Sealth,Friday Harbor,Anacortes,11:05,11:11,12:16,04/12/2024,
Sealth,Anacortes,Lopez,12:35,12:35,13:33,04/12/2024,
Sealth,Lopez,Anacortes,13:35,13:46,14:27,04/12/2024,
Sealth,Anacortes,Friday Harbor,14:40,14:46,15:52,04/12/2024,
Sealth,Friday Harbor,Lopez,16:15,16:15,16:48,04/12/2024,
Sealth,Lopez,Anacortes,17:00,17:00,17:44,04/12/2024,
Sealth,Anacortes,Lopez,18:00,18:04,18:43,04/12/2024,
Sealth,Lopez,Friday Harbor,18:50,18:51,19:25,04/12/2024,
Sealth,Friday Harbor,Lopez,19:45,19:45,20:17,04/12/2024,
Sealth,Lopez,Anacortes,20:25,20:25,21:10,04/12/2024,
Sealth,Anacortes,Lopez,06:20,06:37,07:38,04/13/2024,
Sealth,Lopez,Friday Harbor,07:10,07:45,08:20,04/13/2024,
Sealth,Friday Harbor,Anacortes,08:05,08:37,10:01,04/13/2024,
Sealth,Anacortes,Friday Harbor,09:30,10:19,11:37,04/13/2024,
Sealth,Friday Harbor,Anacortes,11:05,11:58,13:24,04/13/2024,
Sealth,Anacortes,Lopez,06:20,06:20,07:05,04/14/2024,
Sealth,Lopez,Friday Harbor,07:10,07:12,07:49,04/14/2024,
Sealth,Friday Harbor,Anacortes,08:05,08:05,09:17,04/14/2024,
Sealth,Anacortes,Friday Harbor,09:30,09:30,10:44,04/14/2024,
Sealth,Friday Harbor,Anacortes,11:05,11:05,12:13,04/14/2024,
Sealth,Anacortes,Lopez,12:35,12:35,13:14,04/14/2024,
Sealth,Lopez,Anacortes,13:35,13:35,14:15,04/14/2024,
Sealth,Anacortes,Friday Harbor,14:40,14:40,15:45,04/14/2024,
Sealth,Friday Harbor,Lopez,16:15,16:15,16:47,04/14/2024,
Sealth,Lopez,Anacortes,17:00,17:00,17:43,04/14/2024,
Sealth,Anacortes,Lopez,18:00,18:02,18:41,04/14/2024,
Sealth,Lopez,Friday Harbor,18:50,18:51,19:29,04/14/2024,
Sealth,Friday Harbor,Lopez,19:45,19:45,20:19,04/14/2024,
Sealth,Lopez,Anacortes,20:25,20:25,21:17,04/14/2024,
Sealth,Anacortes,Lopez,06:20,06:24,07:15,04/15/2024,
Sealth,Lopez,Friday Harbor,07:10,07:25,08:01,04/15/2024,
Sealth,Friday Harbor,Anacortes,08:05,08:28,09:34,04/15/2024,
Sealth,Anacortes,Friday Harbor,09:30,09:47,10:54,04/15/2024,
Sealth,Friday Harbor,Anacortes,11:05,11:15,12:20,04/15/2024,
Sealth,Anacortes,Lopez,12:35,12:35,13:33,04/15/2024,
Sealth,Lopez,Anacortes,13:35,13:48,14:28,04/15/2024,
Sealth,Anacortes,Friday Harbor,14:40,14:52,16:00,04/15/2024,
Sealth,Friday Harbor,Lopez,16:15,16:24,16:58,04/15/2024,
Sealth,Lopez,Anacortes,17:00,17:10,17:54,04/15/2024,
Sealth,Anacortes,Lopez,18:00,18:15,18:57,04/15/2024,
Sealth,Lopez,Friday Harbor,18:50,19:04,19:39,04/15/2024,
Sealth,Friday Harbor,Lopez,19:45,19:49,20:22,04/15/2024,
Sealth,Lopez,Anacortes,20:25,20:25,21:17,04/15/2024,
Sealth,Anacortes,Lopez,06:20,06:20,07:06,04/16/2024,
Sealth,Lopez,Friday Harbor,07:10,07:13,07:49,04/16/2024,
Sealth,Friday Harbor,Anacortes,08:05,08:18,09:25,04/16/2024,
Sealth,Anacortes,Friday Harbor,09:30,09:38,10:44,04/16/2024,
Sealth,Friday Harbor,Anacortes,11:05,11:05,12:10,04/16/2024,
Sealth,Anacortes,Lopez,12:35,12:35,13:25,04/16/2024,
Sealth,Lopez,Anacortes,13:35,13:35,14:15,04/16/2024,
Sealth,Anacortes,Friday Harbor,14:40,14:41,15:48,04/16/2024,
Sealth,Friday Harbor,Lopez,16:15,16:16,16:49,04/16/2024,
Sealth,Lopez,Anacortes,17:00,17:00,17:40,04/16/2024,
Sealth,Anacortes,Lopez,18:00,18:00,18:40,04/16/2024,
Sealth,Lopez,Friday Harbor,18:50,18:49,19:21,04/16/2024,
Sealth,Friday Harbor,Lopez,19:45,19:45,20:16,04/16/2024,
Sealth,Lopez,Anacortes,20:25,20:25,21:06,04/16/2024,
Sealth,Anacortes,Lopez,06:20,06:25,07:10,04/17/2024,
Sealth,Lopez,Friday Harbor,07:10,07:20,07:54,04/17/2024,
Sealth,Friday Harbor,Anacortes,08:05,08:17,09:23,04/17/2024,
Sealth,Anacortes,Friday Harbor,09:30,09:37,10:42,04/17/2024,
Sealth,Friday Harbor,Anacortes,11:05,11:05,12:11,04/17/2024,
Sealth,Anacortes,Lopez,12:35,12:35,13:36,04/17/2024,
Sealth,Lopez,Anacortes,13:35,13:46,14:28,04/17/2024,
Sealth,Anacortes,Friday Harbor,14:40,14:48,15:53,04/17/2024,
Sealth,Friday Harbor,Lopez,16:15,16:17,16:48,04/17/2024,
Sealth,Lopez,Anacortes,17:00,17:00,17:40,04/17/2024,
Sealth,Anacortes,Lopez,18:00,18:03,18:43,04/17/2024,
Sealth,Lopez,Friday Harbor,18:50,18:50,19:21,04/17/2024,
Sealth,Friday Harbor,Lopez,19:45,19:45,20:15,04/17/2024,
Sealth,Lopez,Anacortes,20:25,20:25,21:05,04/17/2024,
Sealth,Anacortes,Lopez,06:20,06:25,07:05,04/18/2024,
Sealth,Lopez,Friday Harbor,07:10,07:14,07:45,04/18/2024,
Sealth,Friday Harbor,Anacortes,08:05,08:13,09:20,04/18/2024,
Sealth,Anacortes,Friday Harbor,09:30,09:35,10:39,04/18/2024,
Sealth,Friday Harbor,Anacortes,11:05,11:05,12:11,04/18/2024,
Sealth,Anacortes,Lopez,12:35,12:35,13:13,04/18/2024,
Sealth,Lopez,Anacortes,13:35,13:44,14:25,04/18/2024,
Sealth,Anacortes,Friday Harbor,14:40,14:46,15:49,04/18/2024,
Sealth,Friday Harbor,Lopez,16:15,16:20,16:51,04/18/2024,
Sealth,Lopez,Anacortes,17:00,17:02,17:45,04/18/2024,
Sealth,Anacortes,Lopez,18:00,18:08,18:46,04/18/2024,
Sealth,Lopez,Friday Harbor,18:50,18:53,19:23,04/18/2024,
