Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Spokane,Kingston,Edmonds,04:45,04:47,05:07,04/12/2024,
Spokane,Edmonds,Kingston,05:35,05:37,05:56,04/12/2024,
Spokane,Kingston,Edmonds,06:25,06:27,06:47,04/12/2024,
Spokane,Edmonds,Kingston,07:10,07:11,07:30,04/12/2024,
Spokane,Kingston,Edmonds,11:05,11:12,11:32,04/12/2024,
Spokane,Edmonds,Kingston,11:55,11:56,12:16,04/12/2024,
Spokane,Kingston,Edmonds,12:45,12:49,13:08,04/12/2024,
Spokane,Edmonds,Kingston,13:35,13:36,13:56,04/12/2024,
Spokane,Kingston,Edmonds,14:30,14:30,15:09,04/12/2024,
Spokane,Edmonds,Kingston,15:15,15:18,15:38,04/12/2024,
Spokane,Kingston,Edmonds,16:00,16:03,16:24,04/12/2024,
Spokane,Edmonds,Kingston,16:45,16:49,17:09,04/12/2024,
Spokane,Kingston,Edmonds,17:30,17:33,17:55,04/12/2024,
Spokane,Edmonds,Kingston,18:15,18:25,18:46,04/12/2024,
Spokane,Kingston,Edmonds,19:00,19:06,19:43,04/12/2024,
Spokane,Edmonds,Kingston,19:40,19:47,20:08,04/12/2024,
Spokane,Kingston,Edmonds,20:20,20:34,20:42,04/12/2024,
Spokane,Edmonds,Kingston,21:05,21:06,21:27,04/12/2024,
Spokane,Kingston,Edmonds,21:40,21:40,22:25,04/12/2024,
Spokane,Edmonds,Kingston,22:25,22:25,22:47,04/12/2024,
Spokane,Kingston,Edmonds,23:10,23:11,23:32,04/12/2024,
Spokane,Edmonds,Kingston,23:45,23:46,00:07,04/12/2024,
Spokane,Kingston,Edmonds,04:45,04:47,05:08,04/13/2024,
Spokane,Edmonds,Kingston,05:35,05:36,05:55,04/13/2024,
Spokane,Kingston,Edmonds,06:25,06:26,06:46,04/13/2024,
Spokane,Edmonds,Kingston,07:10,07:12,07:33,04/13/2024,
Spokane,Kingston,Edmonds,07:55,07:57,08:18,04/13/2024,
Spokane,Edmonds,Kingston,08:50,08:51,09:13,04/13/2024,
Spokane,Kingston,Edmonds,09:35,09:41,10:02,04/13/2024,
Spokane,Edmonds,Kingston,10:20,10:29,10:48,04/13/2024,
