Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tacoma,Bainbridge,Colman,04:45,04:46,05:19,04/12/2024,
Tacoma,Colman,Bainbridge,05:30,05:31,06:03,04/12/2024,
Tacoma,Bainbridge,Colman,06:20,06:21,06:50,04/12/2024,
Tacoma,Colman,Bainbridge,07:05,07:07,07:39,04/12/2024,
Tacoma,Bainbridge,Colman,07:55,07:55,08:32,04/12/2024,
Tacoma,Colman,Bainbridge,08:45,08:46,09:20,04/12/2024,
Tacoma,Bainbridge,Colman,09:40,09:42,10:14,04/12/2024,
Tacoma,Colman,Bainbridge,10:40,10:42,11:18,04/12/2024,
Tacoma,Bainbridge,Colman,11:30,11:36,12:08,04/12/2024,
Tacoma,Colman,Bainbridge,12:25,12:31,13:05,04/12/2024,
Tacoma,Bainbridge,Colman,13:15,13:22,13:54,04/12/2024,
Tacoma,Colman,Bainbridge,14:05,14:14,14:53,04/12/2024,
Tacoma,Bainbridge,Colman,14:55,15:10,15:43,04/12/2024,
Tacoma,Colman,Bainbridge,15:50,16:09,16:42,04/12/2024,
Tacoma,Bainbridge,Colman,16:45,17:03,17:36,04/12/2024,
Tacoma,Colman,Bainbridge,17:45,18:12,18:46,04/12/2024,
Tacoma,Bainbridge,Colman,18:40,19:05,19:37,04/12/2024,
Tacoma,Colman,Bainbridge,19:30,19:54,20:28,04/12/2024,
Tacoma,Bainbridge,Colman,20:20,20:40,21:12,04/12/2024,
Tacoma,Colman,Bainbridge,21:20,21:36,22:08,04/12/2024,
Tacoma,Bainbridge,Colman,22:00,22:18,22:49,04/12/2024,
Tacoma,Colman,Bainbridge,22:50,23:01,23:32,04/12/2024,
Tacoma,Bainbridge,Colman,23:30,23:40,00:13,04/12/2024,
Tacoma,Colman,Bainbridge,00:15,00:22,00:53,04/13/2024,
Tacoma,Bainbridge,Colman,00:55,00:58,01:30,04/13/2024,
Tacoma,Colman,Bainbridge,01:35,01:39,02:10,04/13/2024,
Tacoma,Bainbridge,Colman,05:20,05:22,05:52,04/13/2024,
Tacoma,Colman,Bainbridge,06:10,06:11,06:42,04/13/2024,
Tacoma,Bainbridge,Colman,07:05,07:12,07:44,04/13/2024,
Tacoma,Colman,Bainbridge,07:55,07:57,08:31,04/13/2024,
Tacoma,Bainbridge,Colman,08:45,08:48,09:19,04/13/2024,
Tacoma,Colman,Bainbridge,09:35,09:38,10:13,04/13/2024,
