Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tillikum,Friday Harbor,Lopez,06:05,06:05,06:47,04/12/2024,
Tillikum,Lopez,Shaw,06:55,06:55,07:14,04/12/2024,
Tillikum,Shaw,Orcas,07:15,07:19,07:27,04/12/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:38,08:27,04/12/2024,
Tillikum,Friday Harbor,Orcas,08:30,08:38,09:24,04/12/2024,
Tillikum,Orcas,Shaw,09:15,09:31,09:38,04/12/2024,
Tillikum,Shaw,Lopez,09:30,09:44,10:03,04/12/2024,
Tillikum,Lopez,Shaw,09:55,10:11,10:31,04/12/2024,
Tillikum,Shaw,Orcas,10:15,10:36,10:45,04/12/2024,
Tillikum,Orcas,Friday Harbor,10:35,10:55,11:40,04/12/2024,
Tillikum,Friday Harbor,Shaw,11:35,11:52,12:34,04/12/2024,
Tillikum,Shaw,Orcas,12:20,12:38,12:47,04/12/2024,
Tillikum,Orcas,Lopez,12:40,12:55,13:13,04/12/2024,
Tillikum,Lopez,Friday Harbor,13:05,13:23,14:06,04/12/2024,
Tillikum,Friday Harbor,Orcas,14:20,14:28,15:26,04/12/2024,
Tillikum,Orcas,Shaw,15:10,15:34,15:42,04/12/2024,
Tillikum,Shaw,Lopez,15:25,15:47,16:06,04/12/2024,
Tillikum,Orcas,Friday Harbor,16:30,16:46,17:31,04/12/2024,
Tillikum,Friday Harbor,Orcas,17:45,17:45,18:25,04/12/2024,
Tillikum,Orcas,Shaw,18:45,18:45,18:53,04/12/2024,
Tillikum,Shaw,Lopez,19:00,19:00,19:18,04/12/2024,
Tillikum,Lopez,Shaw,19:30,19:30,19:47,04/12/2024,
Tillikum,Shaw,Orcas,19:50,19:53,20:11,04/12/2024,
Tillikum,Orcas,Friday Harbor,20:05,20:16,20:56,04/12/2024,
Tillikum,Friday Harbor,Anacortes,20:50,21:04,22:26,04/12/2024,
Tillikum,Anacortes,Lopez,23:30,23:43,00:36,04/12/2024,
Tillikum,Lopez,Orcas,00:25,00:40,01:01,04/13/2024,
Tillikum,Orcas,Friday Harbor,00:55,01:05,01:45,04/13/2024,
Tillikum,Friday Harbor,Lopez,06:05,06:05,06:40,04/13/2024,
Tillikum,Lopez,Shaw,06:55,06:55,07:14,04/13/2024,
Tillikum,Shaw,Orcas,07:15,07:18,07:24,04/13/2024,
Tillikum,Orcas,Friday Harbor,07:35,07:36,08:27,04/13/2024,
