Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
Tokitae,Mukilteo,Clinton,00:00,00:00,00:12,04/12/2024,
Tokitae,Clinton,Mukilteo,00:30,00:30,00:44,04/12/2024,
Tokitae,Mukilteo,Clinton,01:05,01:04,01:17,04/12/2024,
Tokitae,Clinton,Mukilteo,05:05,05:07,05:23,04/12/2024,
Tokitae,Mukilteo,Clinton,05:35,05:35,05:49,04/12/2024,
Tokitae,Clinton,Mukilteo,06:00,06:01,06:15,04/12/2024,
Tokitae,Mukilteo,Clinton,06:30,06:31,06:48,04/12/2024,
Tokitae,Clinton,Mukilteo,07:00,07:01,07:15,04/12/2024,
Tokitae,Mukilteo,Clinton,07:30,07:30,07:47,04/12/2024,
Tokitae,Clinton,Mukilteo,08:00,08:01,08:16,04/12/2024,
Tokitae,Mukilteo,Clinton,08:30,08:31,08:48,04/12/2024,
Tokitae,Clinton,Mukilteo,09:00,09:04,09:36,04/12/2024,
Tokitae,Mukilteo,Clinton,09:30,09:54,10:13,04/12/2024,
Tokitae,Clinton,Mukilteo,10:30,10:31,10:49,04/12/2024,
Tokitae,Mukilteo,Clinton,11:00,11:05,11:24,04/12/2024,
Tokitae,Clinton,Mukilteo,11:30,11:44,12:02,04/12/2024,
Tokitae,Mukilteo,Clinton,12:00,12:19,12:39,04/12/2024,
Tokitae,Clinton,Mukilteo,13:00,13:00,13:15,04/12/2024,
Tokitae,Mukilteo,Clinton,13:30,13:35,13:49,04/12/2024,
Tokitae,Clinton,Mukilteo,14:00,14:08,14:24,04/12/2024,
Tokitae,Mukilteo,Clinton,14:35,14:41,14:57,04/12/2024,
Tokitae,Clinton,Mukilteo,15:05,15:15,15:28,04/12/2024,
Tokitae,Mukilteo,Clinton,15:35,15:45,15:59,04/12/2024,
Tokitae,Clinton,Mukilteo,16:05,16:17,16:30,04/12/2024,
Tokitae,Mukilteo,Clinton,16:40,16:48,17:01,04/12/2024,
Tokitae,Clinton,Mukilteo,17:05,17:17,17:30,04/12/2024,
Tokitae,Mukilteo,Clinton,17:40,17:46,17:59,04/12/2024,
Tokitae,Clinton,Mukilteo,18:05,18:13,18:26,04/12/2024,
Tokitae,Mukilteo,Clinton,18:40,18:43,18:56,04/12/2024,
Tokitae,Clinton,Mukilteo,19:05,19:08,19:22,04/12/2024,
Tokitae,Mukilteo,Clinton,19:35,19:35,19:49,04/12/2024,
Tokitae,Clinton,Mukilteo,20:00,20:03,20:17,04/12/2024,
Tokitae,Mukilteo,Clinton,20:35,20:37,20:53,04/12/2024,
Tokitae,Clinton,Mukilteo,08:00,08:00,08:17,04/13/2024,
Tokitae,Mukilteo,Clinton,08:30,08:30,08:45,04/13/2024,
Tokitae,Clinton,Mukilteo,09:00,09:01,09:17,04/13/2024,
Tokitae,Mukilteo,Clinton,09:30,09:30,09:45,04/13/2024,
Tokitae,Clinton,Mukilteo,10:00,10:02,10:16,04/13/2024,
Tokitae,Mukilteo,Clinton,10:30,10:32,10:47,04/13/2024,
Tokitae,Clinton,Mukilteo,11:00,11:03,11:18,04/13/2024,
Tokitae,Mukilteo,Clinton,11:30,11:34,11:48,04/13/2024,
Tokitae,Clinton,Mukilteo,12:00,12:03,12:20,04/13/2024,
Tokitae,Mukilteo,Clinton,12:30,12:36,12:51,04/13/2024,
Tokitae,Clinton,Mukilteo,13:00,13:07,13:22,04/13/2024,
Tokitae,Mukilteo,Clinton,13:30,13:38,13:51,04/13/2024,
Tokitae,Clinton,Mukilteo,14:00,14:07,14:22,04/13/2024,
Tokitae,Mukilteo,Clinton,14:35,14:38,14:53,04/13/2024,
Tokitae,Clinton,Mukilteo,15:05,15:12,15:26,04/13/2024,
Tokitae,Mukilteo,Clinton,15:35,15:43,15:57,04/13/2024,
Tokitae,Clinton,Mukilteo,16:05,16:15,16:28,04/13/2024,
Tokitae,Mukilteo,Clinton,16:40,16:44,16:58,04/13/2024,
Tokitae,Clinton,Mukilteo,17:05,17:16,17:29,04/13/2024,
Tokitae,Mukilteo,Clinton,17:40,17:47,18:00,04/13/2024,
Tokitae,Clinton,Mukilteo,18:05,18:17,18:31,04/13/2024,
Tokitae,Mukilteo,Clinton,18:40,18:46,19:00,04/13/2024,
Tokitae,Clinton,Mukilteo,19:05,19:15,19:29,04/13/2024,
Tokitae,Mukilteo,Clinton,19:35,19:42,19:58,04/13/2024,
Tokitae,Clinton,Mukilteo,20:00,20:13,20:27,04/13/2024,
Tokitae,Mukilteo,Clinton,20:35,20:49,21:04,04/13/2024,
Tokitae,Clinton,Mukilteo,21:00,21:16,21:29,04/13/2024,
Tokitae,Mukilteo,Clinton,21:30,21:39,21:55,04/13/2024,
Tokitae,Clinton,Mukilteo,22:00,22:02,22:16,04/13/2024,
Tokitae,Mukilteo,Clinton,22:30,22:30,22:46,04/13/2024,
Tokitae,Clinton,Mukilteo,08:00,08:02,08:18,04/14/2024,
Tokitae,Mukilteo,Clinton,08:30,08:30,08:44,04/14/2024,
Tokitae,Clinton,Mukilteo,09:00,09:01,09:16,04/14/2024,
Tokitae,Mukilteo,Clinton,09:30,09:36,09:54,04/14/2024,
Tokitae,Clinton,Mukilteo,10:00,10:06,10:23,04/14/2024,
Tokitae,Mukilteo,Clinton,10:30,10:36,10:50,04/14/2024,
Tokitae,Clinton,Mukilteo,11:00,11:05,11:20,04/14/2024,
Tokitae,Mukilteo,Clinton,11:30,11:36,11:50,04/14/2024,
Tokitae,Clinton,Mukilteo,12:00,12:07,12:21,04/14/2024,
Tokitae,Mukilteo,Clinton,12:30,12:40,12:54,04/14/2024,
Tokitae,Clinton,Mukilteo,13:00,13:11,13:26,04/14/2024,
Tokitae,Mukilteo,Clinton,13:30,13:41,13:55,04/14/2024,
Tokitae,Clinton,Mukilteo,14:00,14:13,14:27,04/14/2024,
