Vessel, Departing, Arriving, Scheduled Depart, Actual Depart, Est. Arrival, Date 
WallaWalla,Colman,,00:50,00:51,00:00,04/12/2024,
WallaWalla,Bremerton,,06:20,06:22,00:00,04/12/2024,
WallaWalla,Colman,,07:35,07:37,00:00,04/12/2024,
WallaWalla,Bremerton,,08:45,08:48,00:00,04/12/2024,
WallaWalla,Colman,,10:00,10:01,00:00,04/12/2024,
WallaWalla,Bremerton,,11:10,11:11,00:00,04/12/2024,
WallaWalla,Colman,,12:20,12:22,00:00,04/12/2024,
WallaWalla,Bremerton,,13:30,13:35,00:00,04/12/2024,
WallaWalla,Colman,Bainbridge,15:00,15:07,15:40,04/12/2024,
WallaWalla,Bainbridge,Colman,15:50,16:06,16:38,04/12/2024,
WallaWalla,Colman,Bainbridge,16:45,17:05,17:36,04/12/2024,
WallaWalla,Bainbridge,Colman,17:35,17:58,18:31,04/12/2024,
WallaWalla,Colman,Bainbridge,18:30,18:50,19:26,04/12/2024,
WallaWalla,Bainbridge,Colman,19:20,19:36,20:07,04/12/2024,
WallaWalla,Colman,Bainbridge,20:15,20:31,21:03,04/12/2024,
WallaWalla,Bainbridge,Colman,21:00,21:18,21:49,04/12/2024,
WallaWalla,Colman,Bainbridge,22:05,22:11,22:41,04/12/2024,
WallaWalla,Bainbridge,Colman,07:55,07:59,08:32,04/13/2024,
WallaWalla,Colman,Bainbridge,08:55,08:56,09:29,04/13/2024,
WallaWalla,Bainbridge,Colman,09:45,09:50,10:21,04/13/2024,
WallaWalla,Colman,Bainbridge,10:40,10:44,11:16,04/13/2024,
WallaWalla,Bainbridge,Colman,11:35,11:39,12:16,04/13/2024,
WallaWalla,Colman,Bainbridge,12:30,12:44,13:24,04/13/2024,
WallaWalla,Bainbridge,Colman,13:20,13:50,14:23,04/13/2024,
WallaWalla,Colman,Bainbridge,14:10,14:49,15:22,04/13/2024,
WallaWalla,Bainbridge,Colman,15:00,15:49,16:19,04/13/2024,
WallaWalla,Colman,Bainbridge,16:45,16:46,17:17,04/13/2024,
WallaWalla,Bainbridge,Colman,17:35,17:41,18:11,04/13/2024,
WallaWalla,Colman,Bainbridge,18:25,18:30,19:02,04/13/2024,
WallaWalla,Bainbridge,Colman,19:15,19:20,19:50,04/13/2024,
WallaWalla,Colman,Bainbridge,20:10,20:11,20:47,04/13/2024,
WallaWalla,Bainbridge,Colman,20:55,21:00,21:33,04/13/2024,
WallaWalla,Colman,Bainbridge,21:45,22:01,22:33,04/13/2024,
WallaWalla,Bainbridge,Colman,22:30,22:48,23:17,04/13/2024,
WallaWalla,Colman,Bainbridge,23:15,23:28,23:58,04/13/2024,
WallaWalla,Colman,Bainbridge,08:55,09:03,09:35,04/14/2024,
WallaWalla,Bainbridge,Colman,09:45,09:48,10:20,04/14/2024,
WallaWalla,Colman,Bainbridge,10:40,10:41,11:14,04/14/2024,
WallaWalla,Bainbridge,Colman,11:35,11:37,12:08,04/14/2024,
WallaWalla,Colman,Bainbridge,12:30,12:33,13:05,04/14/2024,
WallaWalla,Bainbridge,Colman,13:20,13:29,14:00,04/14/2024,
WallaWalla,Colman,Bainbridge,14:10,14:26,14:59,04/14/2024,
WallaWalla,Bainbridge,Colman,15:00,15:22,15:52,04/14/2024,
WallaWalla,Colman,Bainbridge,15:50,16:11,16:43,04/14/2024,
WallaWalla,Bainbridge,Colman,16:40,17:04,17:35,04/14/2024,
WallaWalla,Colman,,17:30,17:58,00:00,04/14/2024,
WallaWalla,Bremerton,,18:40,19:08,00:00,04/14/2024,
WallaWalla,Colman,,19:50,20:16,00:00,04/14/2024,
WallaWalla,Bremerton,,21:00,21:18,00:00,04/14/2024,
WallaWalla,Colman,,22:30,22:38,00:00,04/14/2024,
WallaWalla,Bremerton,,23:40,23:41,00:00,04/14/2024,
WallaWalla,Colman,,00:50,00:51,00:00,04/15/2024,
WallaWalla,Bremerton,,06:20,06:22,00:00,04/15/2024,
WallaWalla,Colman,,07:35,07:37,00:00,04/15/2024,
WallaWalla,Bremerton,,08:45,08:46,00:00,04/15/2024,
WallaWalla,Colman,,10:00,10:01,00:00,04/15/2024,
WallaWalla,Bremerton,,11:10,11:12,00:00,04/15/2024,
WallaWalla,Colman,,12:20,12:22,00:00,04/15/2024,
WallaWalla,Bremerton,,13:30,13:31,00:00,04/15/2024,
WallaWalla,Colman,,14:50,14:51,00:00,04/15/2024,
WallaWalla,Bremerton,,16:15,16:16,00:00,04/15/2024,
WallaWalla,Colman,,17:30,17:31,00:00,04/15/2024,
WallaWalla,Bremerton,,18:40,18:41,00:00,04/15/2024,
WallaWalla,Colman,,19:50,19:52,00:00,04/15/2024,
WallaWalla,Bremerton,,21:00,21:02,00:00,04/15/2024,
WallaWalla,Colman,,22:30,22:35,00:00,04/15/2024,
WallaWalla,Bremerton,,23:40,23:42,00:00,04/15/2024,
WallaWalla,Colman,,00:50,00:51,00:00,04/16/2024,
WallaWalla,Bremerton,,06:20,06:24,00:00,04/16/2024,
WallaWalla,Colman,,07:35,07:37,00:00,04/16/2024,
WallaWalla,Bremerton,,08:45,08:47,00:00,04/16/2024,
WallaWalla,Colman,,10:00,10:01,00:00,04/16/2024,
WallaWalla,Bremerton,,11:10,11:12,00:00,04/16/2024,
WallaWalla,Colman,,12:20,12:22,00:00,04/16/2024,
WallaWalla,Bremerton,,13:30,13:31,00:00,04/16/2024,
WallaWalla,Colman,,14:50,14:53,00:00,04/16/2024,
WallaWalla,Bremerton,,16:15,16:16,00:00,04/16/2024,
WallaWalla,Colman,,17:30,17:31,00:00,04/16/2024,
WallaWalla,Bremerton,,18:40,18:42,00:00,04/16/2024,
